"film_id","genre_id"
"3d036187-2c03-4831-ac66-6bfdbf91ba1e",28
"3d036187-2c03-4831-ac66-6bfdbf91ba1e",53
"3d036187-2c03-4831-ac66-6bfdbf91ba1e",878
"4636157e-7ed8-4472-bd59-cb5442604773",35
"4636157e-7ed8-4472-bd59-cb5442604773",10749
a9f73754-847d-43b7-9529-bfe7fecd487f,27
a9f73754-847d-43b7-9529-bfe7fecd487f,9648
a9f73754-847d-43b7-9529-bfe7fecd487f,878
"48535f31-8882-4263-af41-c9c0f87c8a1c",10749
"48535f31-8882-4263-af41-c9c0f87c8a1c",35
"1a2693ad-3f29-408b-8b7c-b490f2287f7e",27
"890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a",18
"890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a",10749
f97f9b4e-9d81-40ab-a15d-a229e05ed046,35
f97f9b4e-9d81-40ab-a15d-a229e05ed046,10752
"428bc8c4-3f25-4a21-862e-f5d4abd1cf2c",878
"428bc8c4-3f25-4a21-862e-f5d4abd1cf2c",18
"428bc8c4-3f25-4a21-862e-f5d4abd1cf2c",53
"1a316e25-c81d-4a98-92ec-7147c6c72ff1",35
"49006841-5ff8-4149-8c0a-1b87a158392f",53
"49006841-5ff8-4149-8c0a-1b87a158392f",27
"94666aeb-13c6-47d8-a8c9-6051636b6102",28
"94666aeb-13c6-47d8-a8c9-6051636b6102",12
"94666aeb-13c6-47d8-a8c9-6051636b6102",53
"94666aeb-13c6-47d8-a8c9-6051636b6102",10752
"8f3d2c9a-7e51-4966-b561-80c59d8bcc31",878
"8f3d2c9a-7e51-4966-b561-80c59d8bcc31",28
df58b6ff-2faa-4a5e-a125-10fdae3fa7a7,18
df58b6ff-2faa-4a5e-a125-10fdae3fa7a7,28
df58b6ff-2faa-4a5e-a125-10fdae3fa7a7,53
"9ab02769-fa4b-41e4-ba7f-17eb8825dfa0",12
"9ab02769-fa4b-41e4-ba7f-17eb8825dfa0",28
"9ab02769-fa4b-41e4-ba7f-17eb8825dfa0",53
"9ab02769-fa4b-41e4-ba7f-17eb8825dfa0",878
dacfc97e-7ad7-4fe1-ba9a-f1f2e956fa4c,18
dacfc97e-7ad7-4fe1-ba9a-f1f2e956fa4c,10749
ecfc4dc1-57a8-4ef7-978f-0ee5f38843cb,35
fb74c2f9-8ef1-433e-a067-746b5e0bfd59,878
fb74c2f9-8ef1-433e-a067-746b5e0bfd59,12
fb74c2f9-8ef1-433e-a067-746b5e0bfd59,10751
fb74c2f9-8ef1-433e-a067-746b5e0bfd59,14
"08d8ac52-4e53-4810-abe5-d9fd59025be8",35
c818af7e-20e9-4172-b022-cb605f235a3f,53
c818af7e-20e9-4172-b022-cb605f235a3f,878
c818af7e-20e9-4172-b022-cb605f235a3f,18
"59b41a22-7f4f-45f2-bb9e-5397fb3a6408",12
"59b41a22-7f4f-45f2-bb9e-5397fb3a6408",14
"59b41a22-7f4f-45f2-bb9e-5397fb3a6408",28
c8569fc1-cf9f-4f55-9c6c-d100595847f6,28
